SSID,BSSID,Capabilities,frequency
ATTsUKzR3A,78:96:84:b0:64:50,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
ATT400,94:c1:50:d9:ef:d2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
ATT6A7m694,e8:33:81:03:27:e0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
NETGEAR99-5G,20:4e:7f:82:65:72,[WPA2-PSK-CCMP][WPS][ESS],5220
Long Live A$AC Schrader,84:1b:5e:dd:72:bf,[WPA2-PSK-CCMP][WPS][ESS],2452
HP-Print-75-Officejet Pro 8600,d8:9d:67:ec:c8:75,[WPA2-PSK-CCMP][ESS],2462
ATTuQZxYDS,94:62:69:34:3e:e0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
HideYaWifi,00:19:9d:74:db:79,[WPA2-PSK-CCMP][WPS][ESS],2452
CeilingKitty,e0:91:f5:e0:87:7d,[WPA2-PSK-CCMP][WPS][ESS],2412
HPD110a.77E3F3,02:2a:ba:2a:ef:29,[IBSS],2437
FreeWilly,ec:1a:59:06:d1:f4,[WPA2-PSK-CCMP][WPS][ESS],2412
C97130,c4:39:3a:c9:71:38,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2452
Wifi89,28:c6:8e:b2:f6:6d,[WPA2-PSK-CCMP][WPS][ESS],2437
belkin.38c,08:86:3b:dc:e3:8c,[WPA2-PSK-CCMP][WPS][ESS],2462
NETGEAR41,10:0d:7f:5a:fb:01,[WPA2-PSK-CCMP][WPS][ESS],2422
Homedogggbiscuit,e8:de:27:f3:31:02,[WPA2-PSK-CCMP][WPS][ESS],2417
Pickle Jar,84:1b:5e:dd:72:be,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFif2-2G,04:a1:51:bb:19:f2,[WPA2-PSK-CCMP][WPS][ESS],2447
Pretty Fly for a Wi-Fi,e8:fc:af:91:e6:e3,[WPA2-PSK-CCMP][WPS][ESS],2462
Denise Network,90:72:40:0d:cb:04,[WPA2-PSK-CCMP][ESS],2462
League House 2.0,94:44:52:bd:7e:37,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2452
HideYaWifi HD,00:19:9d:74:db:78,[WPA2-PSK-CCMP][WPS][ESS],5240
Winterfell,20:4e:7f:71:1a:7e,[WPA-PSK-TKIP][WPS][ESS],2417
belkin.f1b,ec:1a:59:ad:6f:1b,[WPA2-PSK-CCMP][WPS][ESS],2412
NETGEAR13,04:a1:51:a3:2e:a9,[WPA2-PSK-CCMP][WPS][ESS],2437
Angeli,00:90:a9:0d:a0:56,[WPA2-PSK-CCMP][WPS][ESS],2412
Mount Doom,ec:1a:59:89:da:58,[WPA2-PSK-CCMP][WPS][ESS],2437
ATT9y7j7q9,8c:7f:3b:a5:44:f0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
